Candidate,Party,Votes
JAGDISH SONKAR,Samajwadi Party,72368
ANITA RAWAT,Bharatiya Janata Party,68189
SUSHILA SAROJ,Bahujan Samaj Party,52796
RAM SEVAK,Nirbal Indian Shoshit Hamara Aam Dal,4484
SUBAS CHANDRA,Communist Party of India,1773
LAKSHMI SAROJ,Independent,1237
MULCHAND,Rashtriya Lok Dal,1070
ANIL KUMAR,Rashtriya Samaj Paksha,960
CHANDAN,Sarv Sambhaav Party,900
SUKHRAM,Ojaswi Party,740
JAI PRAKASH,Independent,495
BACCHU LAL,Independent,445
RAM SAKAL,Mahakranti Dal,418
NANDLAL,Manav Kranti Party,304
None of the Above,None of the Above,2165
