Candidate,Party,Votes
DARA SINGH CHAUHAN,Bharatiya Janata Party,86238
AMRESH CHAND,Indian National Congress,56823
UMESH PANDEY,Bahujan Samaj Party,54803
RAMKUNWAR SINGH,Communist Party of India,2363
BANSHRAJ,Nirbal Indian Shoshit Hamara Aam Dal,2290
RAJU SHARMA,Most Backward Classes Of India,1671
BHIRGUN,Rashtriya Lok Dal,1299
VIJAYSHANKAR,Bahujan Mukti Party,1082
PAHLAWAN,Jan Adhikar Party,987
BHANU PRATAP,Poorvanchal People's Party,863
RAMESH CHAND PANDEY,Independent,751
RAMPRAVESH,Independent,725
KANHAIYA YADAV,Lok Dal,522
SHRIKANT YADAV,Independent,505
ANAND KUMAR PANDEY,Rashtravyapi Janta Party,438
CHANDRIKA PAL,Rashtriya Samaj Paksha,430
RAGHUBEER YADAV,Nationalist Congress Party,386
SURYA KUMAR,Independent,370
DEVENDRA SINGH,Shivsena,357
ASHUTOSH KUMAR VISHVAKARMA,Deshbhakt Nirman Party,341
NARENDRA,Ambedkar Samaj Party,292
None of the Above,None of the Above,683
