Candidate,Party,Votes
SATISH MAHANA,Bharatiya Janata Party,132394
MANOJ KUMAR SHUKLA,Bahujan Samaj Party,40568
ARUNA TOMAR,Samajwadi Party,38752
RAJARAM PAL,Indian National Congress,18697
AWADHESH,Bhartiya Shakti Chetna Party,1374
PRAVEEN KUMAR,Independent,717
VISHVA NATH YADAV,Nationalist Congress Party,599
DHARMENDRA TIWARI,Rashtriya Lok Dal,530
ANITA DEVI,Independent,526
SUDHIR KANT,Bahujan Mukti Party,431
BALWAN SINGH,Independent,404
PRADHUMN,Independent,380
None of the Above,None of the Above,1359
