Candidate,Party,Votes
SHASHANK TRIVEDI,Bharatiya Janata Party,80938
ANOOP KUMAR GUPTA,Samajwadi Party,77221
MAHESH CHANDRA MISHRA,Bahujan Samaj Party,60917
MAHENDRA SINGH VERMA,Lok Dal,11214
VINEET KUMAR,Rashtriya Lok Dal,1554
AMIT SINGH,Bharatiya Subhash Sena,1482
RAJA RAM,Independent,1304
SUBEDAR,Independent,1019
S. P. SINGH,Independent,943
ASHISH KUMAR,Independent,694
DR. VIJAY SHREE,Republican Party of India (A),621
SAROJANI DEVI,Communist Party of India  (Marxist-Leninist)  (Liberation),575
RAMAUTAR NISHAD,Jai Hind Samaj Party,549
MAHANAND BAJPAI,Independent,548
KHUSHI RAM CHOUDHARI,Uttar Pradesh Republican Party,455
None of the Above,None of the Above,1665
