Candidate,Party,Votes
SHUCHISMITA MAURYA,Bharatiya Janata Party,107839
RAMESH CHAND BIND,Bahujan Samaj Party,66680
ROHIT SHUKLA,Samajwadi Party,44212
TULSIDAS,Nirbal Indian Shoshit Hamara Aam Dal,4867
KANHAIYA LAL,Independent,3667
ASHISH,Shoshit Sandesh Party,1833
ARVIND KUMAR,Independent,1671
BABAU SINGH,Independent,1609
ISRAR AHMAD,Independent,1048
RAJESH,Independent,806
HARISHANKAR,Bahujan Mukti Party,794
SURYAPRAKASH,Manavadhikar Janshakti Party,586
SHYAMDHAR DUBEY,Republican Party of India,576
GANESH PRASAD,Shivsena,531
RAMKALI,Vikas Party,527
RAJESH KUMAR PANDEY,Pragatisheel Manav Samaj Party,510
RAJESHWER PRASAD,Rashtriya Apna Dal,402
VIVEK KUMAR,Bhartiya Rashtriya Jansatta,356
None of the Above,None of the Above,1655
