Candidate,Party,Votes
R.K. SINGH PATEL,Bharatiya Janata Party,84988
SAMPAT PAL,Indian National Congress,40524
CHANDRABHAN SINGH PATEL,Bahujan Samaj Party,32498
DADDU PRASAD,Bahujan Mukti Party,9697
SUKHLAL NISHAD,Nirbal Indian Shoshit Hamara Aam Dal,5329
DINESH PRASAD,Rashtriya Lok Dal,4611
AKHILESH KUMAR,Rastriya Aam Jan Seva Party,2203
RAMDAYAL,Independent,2102
SHEKH KHUDABAKHS,Independent,1959
SATYADEV,Independent,1848
HAJARI LAL,Jan Adhikar Manch,1618
ABHISHEK DWIVEDI,Swabhiman Party,1249
SARYU PRASAD KESHRVANI,Shivsena,1239
INDRAPAL,Independent,940
None of the Above,None of the Above,3752
