Candidate,Party,Votes
SHYAM SUNDER SHARMA,Bahujan Samaj Party,65862
YOGESH CHAUDHARY,Rashtriya Lok Dal,65430
SATISH KUMAR SHARMA,Bharatiya Janata Party,59871
JAGDISH SINGH,Indian National Congress,13270
LALIT KUMAR,Independent,2203
VISHNU KUMAR SHARMA,Independent,715
SUBHASH CHAUDHARY,Independent,628
CHANDAN SINGH DHANGAR,Rashtriya Shoshit Samaj Party,590
RAM SWAROOP,Independent,245
MUKESH KUMAR,Bharat Kalyan Party,232
YOGESH KUMAR,Independent,152
DARMENDRA KUMAR,Independent,146
None of the Above,None of the Above,1253
