Candidate,Party,Votes
RAMA SHANKAR SINGH,Bharatiya Janata Party,106517
LALITESH PATI TRIPATHI,Indian National Congress,59919
AWADHESH KUMAR SINGH,Bahujan Samaj Party,52782
SIDDHARTH SHEKHAR BAUDDH,Independent,2787
RAJENDRA PRASAD,Independent,2421
KAUSHILYA,Nirbal Indian Shoshit Hamara Aam Dal,2252
ARVIND,Communist Party of India  (Marxist),2081
RAJARAM,Independent,1500
RAM LAUTAN SINGH,Bahujan Mukti Party,1470
BASANT LAL,Communist Party of India  (Marxist-Leninist)  (Liberation),1141
KAILASH NATH,Independent,858
AJAY SINGH,Independent,715
PARAS NATH,Aadim Samaj Party,644
NEERMALA,Bhartiya Republican Party (Insan),599
None of the Above,None of the Above,2614
