Candidate,Party,Votes
LEENA TIWARI,Apna Dal (Soneylal),58804
SHRADDHA YADAV,Samajwadi Party,47454
BHOLANATH SHUKLA,Bahujan Samaj Party,37066
SEEMA SINGH,Independent,21440
LAL PRATAP,Independent,1690
BANSHNARAYAN SINGH PATEL,Rashtriya Lok Dal,1450
MUNSHI,Independent,1418
RAMDULAR GOND,Gondvana Gantantra Party,1120
ABBAS AHAMAD,Ittehad-E-Millait Council,1057
JAGAT SINGH,Independent,923
SABHAJEET DOOBE,Lok Dal,710
AGANOO,Independent,701
ASHARAM,Manav Kranti Party,701
RAJENDRA PRASAD,Independent,655
RAJESH,Independent,632
PRADEEP KUMAR PAL,Rashtriya Samaj Paksha,544
GULABCHAND DUBEY,Shivsena,472
SATISH KUMAR,Independent,459
HARISHCHAND,Independent,450
NASIM AHMAD,Mahakranti Dal,409
INDRESH KUMAR GAUTAM,Bahujan Mukti Party,362
MUKTESHWAR,Manviya Bharat Party,352
None of the Above,None of the Above,1174
