Candidate,Party,Votes
SHRIKANT SHARMA,Bharatiya Janata Party,143361
PRADEEP MATHUR,Indian National Congress,42200
YOGESH KUMAR,Bahujan Samaj Party,31168
ASHOK AGRAWAL,Rashtriya Lok Dal,29080
GIREEJA SINGH @ GIRRAJ SINGH,Swatantra Jantaraj Party,1436
GAFFAR ABBAS,Communist Party of India,1263
ANUP AGRAWAL,Bharat Kalyan Party,715
MUKESH,Independent,710
SURESH CHANDRA BAGHEL,Independent,662
PHAKKAD BABA,Independent,371
PRAMOD KRISHNA,Independent,356
ANKIT CHATURVEDI,Rashtriya Samajwadi Party  (Secular),263
AVINESH KUMAR SINGH,Rashtriya Lokraj Party,251
None of the Above,None of the Above,1235
