Candidate,Party,Votes
MUKHTAR ANSHARI,Bahujan Samaj Party,96793
MAHENDRA RAJBHAR,Suheldev Bhartiya Samaj Party,88095
ALTAF ANSARI,Samajwadi Party,72016
RAM SOCH YADAV,Communist Party of India,1514
MAHFUJURRAHMAN,Peace Party,1301
RAM ASHISH,Independent,934
RAMESH SINGH,Lok Gathbandhan Party,850
HAISAMUDDIN,Independent,757
BASANT KUMAR,Communist Party of India  (Marxist-Leninist)  (Liberation),582
LAKHAN,Bahujan Mukti Party,349
SHAH ALAM QURESHI,Pichhravarg Mahapanchayat Party,332
KAUSHLENDRA PRATAP SINGH,Shivsena,291
KANHAIYA,Ambedkar Samaj Party,263
PRAMOD,Jan Adhikar Party,213
None of the Above,None of the Above,1725
