Candidate,Party,Votes
AVTAR SINGH BHADANA,Bharatiya Janata Party,69035
LIYAKAT ALI,Samajwadi Party,68842
NAWAZISH ALAM KHAN,Bahujan Samaj Party,39689
MITHLESHPAL,Rashtriya Lok Dal,22751
SANDEEP KUMAR,Nirbal Indian Shoshit Hamara Aam Dal,474
IMRANA,Akhil Bhartiya Vikas Congress Party,462
MOH. MOOSA,Independent,451
NABAB ALI,Independent,305
MOH. JISHAN,Bahujan Mukti Party,292
ADESH KUMAR,Independent,238
MANOJ SAINI,Shivsena,237
MOTIRAM,Majdoor Kisan Union Party,200
DHARAMVEER SINGH SAINI,Jansatta Party,174
ANJUM KAMAL,Independent,165
None of the Above,None of the Above,1090
