Candidate,Party,Votes
RAFIQ ANSARI,Samajwadi Party,103217
DR. LAXMIKANT BAJPAI,Bharatiya Janata Party,74448
PANKAJ JAULI,Bahujan Samaj Party,12636
MEHFOOZ,Independent,1391
GYANENDRA KUMAR SHARMA,Rashtriya Lok Dal,667
WASIQUL HASAN ZAIDI,Independent,500
RAJEEV KUMAR GARG,Independent,340
RAJESH MOHAN SHARMA,Independent,323
DHEERAJ GOYAL,Shivsena,279
AMIT SHARMA,Hindusthan Nirman Dal,275
JITENDRA VERMA,Independent,258
MURTUJA,Independent,145
CH. ABDUL WAHAB ADVOCATE,Independent,109
PRITI,Independent,98
AFZAL,United Democratic Front Secular,92
None of the Above,None of the Above,738
