Candidate,Party,Votes
SATYA PRAKASH AGARWAL,Bharatiya Janata Party,132518
SATENDRA SOLANKI,Bahujan Samaj Party,55899
RAMESH DHINGRA,Indian National Congress,39650
SANJEEV DHAMA,Rashtriya Lok Dal,3851
VINOD CHAUDHARY URF VINOD KUMAR,Independent,950
PRADEEP SHARMA,Independent,617
SANJAY VERMA,Bhartiya Tarak Samaj Party,610
DR. NARESH CHANDRA,Independent,394
KRISHAN KUMAR,Hindusthan Nirman Dal,332
MOHD FIROZ,Peace Party,285
JILE SINGH,Shivsena,254
V. P. SINGH,Bahujan Mukti Party,205
SATISH CHAND,Rashtriya Lok Samta Party,149
LOKESH NYAYI,United Democratic Front Secular,102
None of the Above,None of the Above,1110
