Candidate,Party,Votes
DR. SOMENDRA TOMAR,Bharatiya Janata Party,113225
HAJI MOHAMMAD YAQUB,Bahujan Samaj Party,77830
MOHAMMAD AZAD SAIFI,Indian National Congress,69117
PAPPU GURJAR,Rashtriya Lok Dal,5462
CHAHAN SINGH,Shivsena,692
PRADEEP KUMAR,Independent,649
HOSIYAR SINGH,Independent,637
RAM SARAN SAINI,Independent,624
PANDIT RAVI BHATT,Hindusthan Nirman Dal,547
ATUL KHODAWAL,Independent,336
PRABUDH KUMAR,Bharatiya Bahujan Parivartan  Party,276
None of the Above,None of the Above,1401
