Candidate,Party,Votes
VINAY KUMAR,Bharatiya Janata Party,84304
ARSHAD ALI KHAN,Bahujan Samaj Party,47926
RAHUL SHUKLA,Samajwadi Party,42526
PRATIBHA SINGH,Independent,17619
MADHURI TIWARI,Bharatiya Subhash Sena,2041
HANOMAN PRASAD,Independent,1944
SAVIT ALI,Independent,1651
AMBIKA DUTT VERMA,Rashtriya Lok Dal,1532
OMPRAKASH,Independent,1214
SIYARAM,Independent,1137
AVINASH,Independent,1072
ASHOK KUMAR,Independent,815
SUHAVAN,Bharatrashtra Democratic Party,631
OMPRAKASH,Independent,540
None of the Above,None of the Above,2019
