Candidate,Party,Votes
MANOHAR LAL,Bharatiya Janata Party,159291
FERAN LAL,Bahujan Samaj Party,59727
BRIJ LAL KHABRI,Indian National Congress,43171
RAMESH KHATIK,Samajwadi Party,27031
ARADHANA,Communist Party of India,4603
SUKH DAYAL,Independent,1939
RAM LAL,Independent,1868
MANOJ KUMAR,Independent,1492
DASHRATH,Rashtriya Sarvajan Party,1217
PRITAM LAL,Independent,1057
JITENDRA,Independent,786
KANHAIYA,Independent,741
RAKESH KUMAR,Jan Adhikar Party,738
None of the Above,None of the Above,4092
