Candidate,Party,Votes
NEELAM KARWARIYA,Bharatiya Janata Party,67807
RAM SEWAK SINGH,Samajwadi Party,47964
SURENDRA,Bahujan Samaj Party,44622
SARVESH CHANDRA,Nirbal Indian Shoshit Hamara Aam Dal,11535
SATYENDRA SINGH,Independent,1434
SURYA BHAN SINGH,Independent,1327
HANSRAJ,Rashtriya Lok Dal,675
VIMAL CHANDRA,Independent,546
ANIL KUMAR,Independent,542
LALLAN,Desh Shakti Party,526
KRISHNAKANT,Bahujan Mukti Party,509
MAHENDRA KUMAR RAWAT,Independent,492
JANARDAN,Lok Gathbandhan Party,278
AMIT RAJ ANAND,Independent,248
RAVINDRA KUMAR,Pragatisheel Samaj Party,220
None of the Above,None of the Above,2459
