Candidate,Party,Votes
RATNAKAR MISHR,Bharatiya Janata Party,109196
KAILASH CHAURASIYA,Samajwadi Party,51784
MO. PARVEZ KHAN,Bahujan Samaj Party,49955
DOCTOR ASHA KUMAR,Independent,2275
RAJIV KUMAR,Independent,1910
AJAY KUMAR,Independent,1364
DINESH KUMAR YADAV,Communist Party of India,1164
AMRESH,Bharatiya Chhatrasangh Bharat,1135
MANISH SINGH,Independent,1020
DINESH PRASAD,Rashtriya Lok Dal,846
RAMCHANDER,Independent,745
MO. SAGIR BAJIGAR,Suraksha Samaj Party,452
RAMESH CHANDRA,Pragatisheel Manav Samaj Party,444
GYANPRAKASH PANDEY,Independent,388
DROPADI DEVI,Bahujan Mukti Party,322
PARVEZ KHAN,Bharat Nyay Dal,297
RAKESH KUMAR,Rashtriya Janshanti Party,228
RAMPAL,Independent,193
SHASHIPRAKASH SINGH,Independent,189
None of the Above,None of the Above,1327
