Candidate,Party,Votes
AMBRISH SINGH PUSHKAR,Samajwadi Party,71574
RAM BAHADUR,Bahujan Samaj Party,71044
R.K. CHAUDHARY,Independent,55684
AJAY PUSHPA RAWAT,Independent,9464
SHRAWAN KUMAR,Independent,3406
CHANDRA DEVI RAVAT,Rashtriya Shahri Vikas Party,1488
HIRA LAL,Independent,1299
MALTI DEVI RAWAT,Independent,1132
RAM KUMAR VALMIKI,Independent,1017
CHHEDA LAL SATHI,Independent,1005
PUSHPA RAWAT BHEEM,Manavtawadi Kranti Dal,936
MEERA DEVI,Independent,582
RAKESH KUMAR,Nagrik Ekta Party,468
None of the Above,None of the Above,3471
