Candidate,Party,Votes
RITESH KUMAR GUPTA,Bharatiya Janata Party,123467
MOHAMMAD YUSUF ANSARI,Samajwadi Party,120274
ATEEQ AHMED SAIFI,Bahujan Samaj Party,24650
B.K SAINI,Shivsena,2022
RAUF,Rashtriya Lok Dal,1035
GYANENDRA KUMAR,Independent,966
SHAHBUDDIN,All India Majlis-E-Ittehadul Muslimeen,947
ABDUL RAUK,Peace Party,633
HARKISHOR SINGH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),420
MAMTA GUPTA,Independent,414
RISHI BHARDWAJ,Independent,223
VINAY PRAKESH,Nirbal Indian Shoshit Hamara Aam Dal,212
DRESPAL SINGH,Rashtriya Congress (Babu Jagjivanram),211
RAJEEV KUMAR DUBEY,AARAKSHAN VIRODHI PARTY,205
VIJETA GUPTA,Rashtriya Mazdoor Ekta Party,145
RADHEY SHYAM,Rashtriya Congress(J) Party,126
None of the Above,None of the Above,855
