Candidate,Party,Votes
HAJI IKRAM QURESHI,Samajwadi Party,97916
HARIOM SHARMA,Bharatiya Janata Party,69135
MOHD KAMRANUL HAQ,Rashtriya Lok Dal,23404
PANNALAL URF BABLU SAINI,Bahujan Samaj Party,20054
MOHD ASLAM,All India Majlis-E-Ittehadul Muslimeen,3503
FAHEEM,Independent,2038
PRANSHU JOSHI,Independent,1565
BRAHMSWAROOP,Communist Party of India  (Marxist),771
PARUL SHARMA,Independent,363
NASERUDDIN,Independent,361
KUSUM,Independent,347
MOHD NASIR,Independent,287
RAMPRASAD,Shivsena,257
VIVEK GUPTA,AARAKSHAN VIRODHI PARTY,234
MOHD ASLAM URF PASA,Republican Party of India (A),185
DINESH KUMAR,Bharatiya Subhash Sena,165
DINESH KUMAR YADAV,Rashtriya Congress(J) Party,143
None of the Above,None of the Above,639
