Candidate,Party,Votes
SUSHMA PATEL,Bahujan Samaj Party,69557
SEEMA DWIVEDI,Bharatiya Janata Party,63637
AJAY SHANKAR DUBEY,Indian National Congress,59288
SUBHAS CHANDRA,Communist Party of India,2429
SUSHIL,Independent,1659
CHAKRAPANI,Rashtriya Lok Dal,1178
MATAPHER ALIAS TILAKDHARI,Independent,1164
KAMALA SHANKAR,Nirbal Indian Shoshit Hamara Aam Dal,887
LALJI,Bahujan Mukti Party,602
MUSTAK AHMAD,Manavtawadi Kranti Dal,495
AKHILESH KUMAR TIWARI,Independent,473
NILESH RAVINDRANATH,Shivsena,394
NEELAM KUMAR,Samaj Parivartan Party,329
None of the Above,None of the Above,2240
