Candidate,Party,Votes
AJIT PAL TYAGI,Bharatiya Janata Party,140759
SUDHAN KUMAR,Bahujan Samaj Party,51147
SURENDER PRAKASH,Indian National Congress,49989
AJAY PAL SINGH,Rashtriya Lok Dal,6648
DISHANT TYAGI,Independent,770
SANJEEV KUMAR,Swatantra Jantaraj Party,594
RAVI DUTT,Independent,575
MULCHAND,Independent,423
RAMASHRAY PRASAD,Loktantrik Manavatavadi Party,395
ARUNESH KUMAR TEWATIA,Independent,333
NATTHU SINGH CHAUDHARY,Independent,333
ASHOK KUMAR SHARAMA,Independent,247
ROTASH SINGH CHAUHAN,National Youth Party,147
TAJ MOHD. (TAJ CHAUDHARY),Independent,119
None of the Above,None of the Above,1053
