Candidate,Party,Votes
KAPIL DEV AGARWAL,Bharatiya Janata Party,97838
GAURAV SWARUP BANSAL,Samajwadi Party,87134
RAKESH KUMAR SHARMA,Bahujan Samaj Party,21038
PAYAL MAHESHWARI,Rashtriya Lok Dal,5640
SANGITA,Independent,1008
MURTAZA SALMANI,Communist Party of India,491
SHAHZAMA KHAN,Independent,249
ZAKIR ALI RANA,Independent,240
RAJ KISHOR,Independent,199
KRISHAN PAL SINGH,Bharat Lok Sewak Party,177
JAMSHED,Independent,131
KARAN SINGH SAINI,Jansatta Party,92
REENU ALIAS SAKSHI,Akhil Bharat Hindu Mahasabha,81
BABITA,Bhartiya Rashtriya Jansatta,55
SANJAY KUMAR,Bharat Janta Dal (Tughlaq),52
RISHI RAM,Independent,44
None of the Above,None of the Above,1133
