Candidate,Party,Votes
PATEL RAMKUMAR VERMA,Bharatiya Janata Party,107487
KRISHNA GOPAL PATEL,Samajwadi Party,61364
GIRJASHANKAR SINGH ALIAS G.S. SINGH,Bahujan Samaj Party,40674
RADHEYSHYAM,Nirbal Indian Shoshit Hamara Aam Dal,2470
MAHIPAL SINGH,Bharatiya Subhash Sena,1885
SHIV KUMAR MAURYA,Republican Party of India (A),1453
S.P.MISHRA ALIAS SATYAPRAKASH,Kisan Samaj Party(S),1300
SARIKA GUPTA,Independent,1122
RAM KHELAWAN,Pichhravarg Mahapanchayat Party,886
RATNAKAR MAURYA,Jan Adhikar Manch,843
None of the Above,None of the Above,2663
