Candidate,Party,Votes
MANOJ KUMAR PARAS,Samajwadi Party,77145
OMWATI DEVI,Bharatiya Janata Party,69178
VIRENDRA PAL,Bahujan Samaj Party,49693
NEELAM,All India Majlis-E-Ittehadul Muslimeen,4385
DR.PHOOL SINGH CHAUDHARY,Peace Party,2541
YADRAM SINGH CHANDEL,Rashtriya Lok Dal,2113
CHANDRVIR SINGH,Independent,685
VIJAY,Independent,636
MANOHAR,Independent,555
CHIRANJEE  LAL,Rashtriya Lok Samta Party,493
JAGDISH SINGH,Independent,449
SARVESH ALIAS SHABNAM,VANCHITSAMAJ INSAAF PARTY,287
SAPNA,National Aman Party,171
SATENDRA KUMAR,Gareeb Kranti Party,141
None of the Above,None of the Above,1431
