Candidate,Party,Votes
TASLEEM AHMAD,Samajwadi Party,81082
RAJIV KUMAR AGARWAL,Bharatiya Janata Party,79080
JAMEEL AHMAD,Bahujan Samaj Party,45070
LEENA SINGHAL,Rashtriya Lok Dal,3587
TAZEEM SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,2094
UMESH KUSHWAHA DANI,Independent,848
DHARA SINGH,Independent,784
SAMPURNANAND PANDEY,Sampoorna Samaj Party,447
ASARPAT SINGH,Independent,439
ASHFAK MAHIGEER,Apna Desh Party,393
HEMENDRA,Bharatiya Momin Front,237
KULDEEP,Bharatiya Bahujan Parivartan  Party,184
MOHD UMAR,Gareeb Kranti Party,175
None of the Above,None of the Above,1516
