Candidate,Party,Votes
RAJ KARAN KABIR,Bharatiya Janata Party,92412
BHARAT LAL DIWAKAR,Indian National Congress,47405
GAYACHARAN DINKAR,Bahujan Samaj Party,44610
DAYA RAM,Communist Party of India,3344
MATA PRASAD,Independent,2442
RAMESHCHANDRA KURIL,Rashtriya Lok Dal,2407
RAMKRIPAL,Independent,1899
BABOORAM VERMA,Ambedkar Samaj Party,1503
RAMCHARAN,Independent,1083
RAJENDRA KUMAR,Independent,972
RAM KHELAVAN,Bahujan Mukti Party,826
RAMKISHOR,Independent,770
ARUN KUMAR,Independent,673
None of the Above,None of the Above,3655
