Candidate,Party,Votes
AMAN MANI TRIPATHI,Independent,79666
KUNWAR KAUSHAL KISHORE SINGH (MUNNA SINGH),Samajwadi Party,47410
SAMEER TRIPATHI,Bharatiya Janata Party,45050
AIJAZ AHMAD,Bahujan Samaj Party,26210
ANIL KUMAR NISHAD (SAHANI),Nirbal Indian Shoshit Hamara Aam Dal,5447
SADA MOHAN UPADHYAY,Rashtriya Lok Dal,2770
KAMINI JAISWAL,All India Majlis-E-Ittehadul Muslimeen,1797
SHAMBHOO PRASAD PRAJAPATI,Bahujan Mukti Party,1358
ABHISHEK JOSHI,Jan Adhikar Party,927
SATISH KUMAR CHATURVEDI,Nationalist Congress Party,802
None of the Above,None of the Above,3490
