Candidate,Party,Votes
KESAR SINGH,Bharatiya Janata Party,93711
BHAGWAT SARAN GANGWAR,Samajwadi Party,54569
SHAILA TAHIR,Ittehad-E-Millait Council,36761
VIRENDER SINGH GANGWAR,Bahujan Samaj Party,18948
MO ASLAM,Rashtriya Lok Dal,1783
RASHMI GANGWAR,Independent,1264
RATAN LAL,Bharatiya Subhash Sena,1260
MASTER CHHOTEY LAL GANGWAR,Peace Party,1227
MO TAHIR,Independent,1071
PRAHLAD RAM,Sarvajan Kalyan Loktantrik Party,1041
TASABBAR HUSAIN,Independent,986
NAEEM AHMAD,Independent,858
None of the Above,None of the Above,1860
