Candidate,Party,Votes
ALAMBADI,Samajwadi Party,67274
CHANDRA DEV RAM,Bahujan Samaj Party,48745
VINOD KUMAR RAI,Bharatiya Janata Party,43786
JITENDRA,Communist Party of India,1366
HARIDAS,Independent,861
RAJNET YADAV,Independent,656
RAJKUMAR,Independent,651
JAI JAI RAM,Pichhravarg Mahapanchayat Party,651
YATINJAY RAJ,Nationalist Congress Party,538
BABLU,Independent,443
RAM NAYAN CHAUHAN,Bahujan Mukti Party,406
JAI RAM SONKAR,Independent,257
RAMKESH,Mahakranti Dal,241
DINESH,Asankhya Samaj Party,182
NALINIKANT,Rashtravyapi Janta Party,175
None of the Above,None of the Above,1243
