Candidate,Party,Votes
PANKAJ SINGH,Bharatiya Janata Party,162417
SUNIL CHOUDHARY,Samajwadi Party,58401
RAVIKANT,Bahujan Samaj Party,27365
VIJAY KUMAR,Independent,963
BRIJESH,Rashtriya Lok Dal,509
JAYARAM BANSAL,Shivsena,472
JAVED KHAN,Sarv Sambhaav Party,463
PREM SINGH,Rashtriya Janhit Sangharsh Party,370
VIKRAM SINGH,Bharatiya Subhash Sena,324
VIKAS GUPTA,Independent,323
KISHORE SINGH,Bharatiya Democratic  Socialist Alliance  Party,307
KRISHNA KANT SINGH,Jan Adhikar Manch,295
RIPAN HALDAR,Bhartiya Bhaichara Party,282
KRISHNPAL SINGH,Pashchimi Uttar Pradesh Vikas Party,130
None of the Above,None of the Above,1787
