Candidate,Party,Votes
SANJIV KUMAR,Bharatiya Janata Party,78058
RAVI GOND,Samajwadi Party,33789
VIRENDRA PRATAP SINGH,Bahujan Samaj Party,29113
SUBHASH KHARVAR,Independent,6198
BAHADUR RAM PANIKA,Communist Party of India,3272
JAGDEESH BAIGA,Nirbal Indian Shoshit Hamara Aam Dal,1825
RAM SURAT,Independent,1709
KRIPA SHANKAR,All India Peoples' Front (Radical),1631
INDRASHAH,Independent,1110
JOY DENIYAL VANI,Independent,1102
OM PRAKASH,Independent,731
None of the Above,None of the Above,4305
