Candidate,Party,Votes
HARVINDER KUMAR SAHANI,Bharatiya Janata Party,118069
SAIF ALI NAQVI,Indian National Congress,48841
VIRENDRA KUMAR AGARWAL,Bahujan Samaj Party,43436
RAMNARESH,Rashtriya Kisan Majdoor Party,7795
ARTI RAI,Communist Party of India  (Marxist-Leninist)  (Liberation),1661
NASEER AHMAD,Nationalist Congress Party,1387
KEVAL SINGH,Sarv Sambhaav Party,1384
DEEPCHAND,Bahujan Mukti Party,1278
UPENDRA SINGH,Independent,1225
SRI RAM,Uttar Pradesh Republican Party,1104
RAKESH KUMAR GUPTA,Independent,1096
VANDNA GUPTA,Independent,1032
VIJAYPAL,Rashtriya Vikalp Party,719
NETRAPAL,Bharatiya Subhash Sena,695
None of the Above,None of the Above,2077
