Candidate,Party,Votes
SWAMI PRASAD MAURYA,Bharatiya Janata Party,93649
JAVED IQBAL,Bahujan Samaj Party,53097
SHIVKUMARI DEVI,Indian National Congress,41162
RAJENDRA ALIAS MUNNA YADAV,Peace Party,8329
RAJESH PRASAD SAINI,Independent,2196
AJAY KUMAR ALIYAS PAPPU PANDEY,Independent,1677
RAMPRATAP,Independent,1594
DR. PARSHURAM MISHRA,Independent,1588
RAMESH,Bahujan Mukti Party,1471
KANHAIYA PANDEY,Rashtriya Lok Dal,1224
VIJAY KUMAR CHAURASIYA,Independent,954
KANHAIYA SHARMA,Independent,939
RAJU  SINGH PATEL,Independent,752
ARVIND,Independent,452
None of the Above,None of the Above,1658
