Candidate,Party,Votes
GYANENDRA,Bharatiya Janata Party,119308
GANESH SHANKER PANDEY,Bahujan Samaj Party,51817
TALAT AZIZ,Indian National Congress,48004
SUMAN,Nirbal Indian Shoshit Hamara Aam Dal,10762
GANPAT SINGH,Rashtriya Lok Dal,3561
AJAY KUMAR,Lok Dal,1638
PRAFULL,Independent,1187
SANTOSH,Independent,1118
RAJESH KUMAR,Independent,994
SATRUGHNA ALIAS SATRUGHAN SINGH NISHAD,Abhay Samaj Party,879
UMESH,Independent,719
GHANSHYAM KUMAR GUPT,Mahakranti Dal,682
JANARDAN,Independent,547
RAKESH,Bahujan Mukti Party,546
None of the Above,None of the Above,2124
