Candidate,Party,Votes
SURYA PRATAP SHAHI,Bharatiya Janata Party,99812
SHAKIR ALI,Samajwadi Party,56815
NEERAJ,Bahujan Samaj Party,22790
HARUN ALI,Peace Party,4139
ZAINUL ABEDIN,All India Majlis-E-Ittehadul Muslimeen,1820
GUDDU,Independent,1053
RANJIT,Rashtriya Lok Dal,1002
RAMBADAN SINGH,Independent,567
PRADEEP,Bhartiya Shakti Chetna Party,455
DURGA SINGH PATEL,Apna Dal United Party,442
SANJAY SRIVASTAVA,Bhartiya  Sarvjan Party,398
RAMA ISHVAR KURMI,Bhartiya Janta Dal (Integrated),365
SURAJAN,Bahujan Mukti Party,272
SHANKER LAL,Bharatiya Jan Sabha,234
None of the Above,None of the Above,1450
