Candidate,Party,Votes
MAMTESH,Bharatiya Janata Party,72414
KIRAN YADAV,Samajwadi Party,68643
"DHEERENDRA BAHADUR SINGH CHAUHAN ""DHEERU""",Bahujan Samaj Party,44131
SHYAMSUNDAR,Mahan Dal,10586
SHRIKUMAR,Independent,1020
ASHOK KUMAR MISHRA,Independent,975
POORAN SINGH,Manav Hit Party,921
VINAY MISHRA,Bhartiya Shakti Chetna Party,799
VIPIN KUMAR,Independent,743
RAHUL,Independent,389
MOHAR SINGH,Uttar Pradesh Republican Party,324
DAVENDRA SINGH,Independent,322
None of the Above,None of the Above,1556
