Candidate,Party,Votes
RAJENDRA PRATAP SINGH ALIAS MOTI,Bharatiya Janata Party,75011
RAM SINGH,Samajwadi Party,73538
KUNWAR SHAKTI SINGH,Bahujan Samaj Party,46427
VIJAY,Nirbal Indian Shoshit Hamara Aam Dal,3025
LALIT NARAYAN MISHRA,Communist Party of India,1846
CHANDRABALI YADAV,Rashtriya Lok Dal,1088
YOGINI NIRMALA DEVI,Independent,949
RAM SAMUJH MAURYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),809
SUBHASH CHANDRA,Independent,705
GUNAKAR PANDEY,Lok Dal,635
KANT LAL,Awami Samta Party,620
RAM LALE,Rashtriya Bahujan Congress Party,549
RAMSHIROMANI,Bahujan Mukti Party,477
None of the Above,None of the Above,2244
