Candidate,Party,Votes
BAJRANG BAHADUR SINGH,Bharatiya Janata Party,76312
VIRENDRA CHAUDHARY,Indian National Congress,73958
VECHAN,Bahujan Samaj Party,35765
VIJAY SINGH,Rashtriya Lok Dal,2742
RAJ KUMAR NISHAD,Nirbal Indian Shoshit Hamara Aam Dal,1930
REENA,All India Majlis-E-Ittehadul Muslimeen,1878
JITENDAR,Shivsena,1006
SHASHI BHOOSHAN,Lok Dal,885
GOBIND DAS,Independent,769
RAJENDERA,Peace Party,645
SHIV KUMARI DEVI,Jai Hind Samaj Party,634
NAGENDRA NATH,Bahujan Mukti Party,429
None of the Above,None of the Above,1992
