Candidate,Party,Votes
PRAVEEN KUMAR SINGH,Bharatiya Janata Party,93912
MANSOOR ALAM,Samajwadi Party,67299
MOHAMMED MASROOR SHAIKH,Bahujan Samaj Party,50421
RAM KISHUN SINGH,Independent,2048
ASHOK KUMAR DUBEY,Pragatisheel Manav Samaj Party,1596
VINOD KUMAR PANDEY,Akhil Bharat Hindu Mahasabha,1147
VINAY KUMAR BHASKAR,Independent,922
JAWAHAR LAL,Nationalist Congress Party,911
MANJU MAURYA,Jan Adhikar Manch,879
ANIL KUMAR SHUKLA,Ambedkar Yug Party,782
PRAMOD CHANDRA,Rashtriya Lok Dal,747
TAHSEEN AHAMAD,Parivartan Samaj Party,628
SHIV CHANDRA,Independent,566
VINOD KUMAR,Pichhravarg Mahapanchayat Party,461
None of the Above,None of the Above,1614
