Candidate,Party,Votes
SANJAY SINGH GANGWAR,Bharatiya Janata Party,136486
RIAZ AHMAD,Samajwadi Party,93130
ARSHAD KHAN,Bahujan Samaj Party,14532
CHANDARSEN,Jan Shakti Ekta Party,1010
MOH YUSUF MALIK,Rashtriya Kisan Majdoor Party,989
RAJRANI,Independent,964
VIJAY SINGH GANGWAR,Independent,654
BHOOPRAM ALIAS BHAWANI PRASAD,Rashtriya Lok Dal,639
MUNESH SINGH,Independent,437
SHAILENDRA KUMAR GANGWAR,Jan Adhikar Manch,433
SHARAD JAISWAL,Independent,420
CHOKHELAL,Bharatiya Subhash Sena,307
None of the Above,None of the Above,1818
