Candidate,Party,Votes
MAHENDRA PAL SINGH,Bharatiya Janata Party,82739
AFATAB ALAM URF GUDDU BHAIYA,Bahujan Samaj Party,69930
AMRENDRA NISHAD,Samajwadi Party,51031
ANITA JAISWAL,Independent,31073
BHPUENDRA,Independent,1177
SURJEET,Bhartiya Shakti Chetna Party,1144
NAUMI NATH,Jan Adhikar Party,1080
KANHAI,Independent,1022
ABHIMANYU,Independent,970
BAHADUR NISHAD,Bahujan Mukti Party,953
ANUPAMA ARYA,Rashtriya Lok Dal,676
SANGEETA DEVI,Independent,605
ANIL,Nationalist Congress Party,544
SHIVDATT,Lok Dal,437
SATYENDRA,Samajwadi Jan Parishad,366
BHARAT SINGH,Rashtriya Janadhar  Party,310
KAMLESH SAHANI,Independent,305
RADHESHYAM SEHRA,Independent,246
RAM SAJEEVAN,Independent,203
None of the Above,None of the Above,1204
