Candidate,Party,Votes
SANGAM LAL GUPTA,Apna Dal (Soneylal),80828
"NAGENDRA SINGH "" MUNNA YADAV""",Samajwadi Party,46274
ASHOK TRIPATHI,Bahujan Samaj Party,41750
SHIV RAM SHUKLA,Independent,3426
PRAMOD KUMAR,Independent,3174
VINOD KUMAR,Lok Dal,1429
SHRAWAN KUMAR,Rashtriya Samaj Paksha,1233
YOGENDRA KUMAR,Independent,1053
DHARMENDRA,Rashtriya Lok Dal,989
ATMA PRAKASH,Shivsena,846
RAM DAYAL,Bahujan Mukti Party,834
PARITOSH KUMAR,Independent,415
DEEPMALA SHRIVASTAV,Public Political Party,411
IDRAKAR MISHRA,Independent,326
None of the Above,None of the Above,2191
