Candidate,Party,Votes
MOHD MUJTABA SIDDQUI,Bahujan Samaj Party,66805
KARAN SINGH,Apna Dal (Soneylal),64151
VIJAMA YADAV,Samajwadi Party,51645
SANTOSH KUMAR,Independent,7264
KRISHNA LAL,Independent,4658
PUSHPRAJ,Sarv Sambhaav Party,2020
BRIJESH KUMAR,Independent,1640
RATNA DEVI,Independent,1393
SURESH KUMAR,Rashtriya Lok Dal,1217
RAM KAILASH,Independent,1156
PANKAJ KUMAR SINGH,Independent,1100
HUSAIN MOHAMMAD HADEES,Rashtriya Ulama Council,686
MANOJ KUMAR,Independent,630
SAIYYAD WASI AHMAD,Pragatisheel Samaj Party,392
None of the Above,None of the Above,2916
