Candidate,Party,Votes
ADITI SINGH,Indian National Congress,128319
MHD. SHAHBAZ KHAN,Bahujan Samaj Party,39156
ANITA SRIVASTAVA,Bharatiya Janata Party,28821
MANVENDRA SINGH,Aajad Bharat Party (Democratic),1536
BHARATI PANDEY,Rashtriya Lok Dal,1233
PIYUSH SHARMA,Independent,1131
JAGDISH PRASAD,Independent,631
SONU LAL,Manavtawadi Samaj Party,628
DINESH KUMAR,Independent,599
VISHWA NATH VERMA,Rashtriya Jan  Adhikar Party,543
RAJESH KUMAR,Bahujan Mukti Party,481
RAMESH KUMAR,Justice Party,435
SABIR KHAN,Samtawadi Republican Party,368
None of the Above,None of the Above,3448
