Candidate,Party,Votes
SHARAD KUMAR AWASTHI,Bharatiya Janata Party,88937
ARVINDA KUMAR SINGH 'GOPE',Samajwadi Party,66210
HAFEEZ BHARTI,Bahujan Samaj Party,53891
RAJ LUXMI VERMA,Peace Party,3137
PUSHPA SHAHI,Rashtriya Lok Dal,1552
GULAM MUSTAFA,Independent,1457
SHAHNAWAZ,All India Majlis-E-Ittehadul Muslimeen,1196
SANDEEP SINGH,Independent,1061
AMAR SINGH,Rashtravyapi Janta Party,944
SURESH PATHAK,Shivsena,880
WARIS ALI,Bahujan Mukti Party,533
RAMESH CHANDRA,Jai Hind Samaj Party,435
MOHD. LAIK,Nagrik Ekta Party,398
JAYNATH,Manavtawadi Samaj Party,352
None of the Above,None of the Above,2094
