Candidate,Party,Votes
RAMANAND BAUDH,Suheldev Bhartiya Samaj Party,102782
PURNMASI DEHATI,Samajwadi Party,47053
VIJAY KUMAR,Bahujan Samaj Party,28471
BUDDHA UPASAK KASHYAP,Nirbal Indian Shoshit Hamara Aam Dal,6602
MAHENDRA PRASAD,Independent,1868
CHANDARIKA,Rashtriya Lok Dal,1528
MADANLAL ALIAS BAGGHA BHAI,Uttar Pradesh Republican Party,1466
RAMMURAT PASWAN,Independent,1355
SITARAM MORYA,Bahujan Mukti Party,1207
MRITYUNJAI KUMAR,Independent,927
CHHEDI,Bhartiya  Sarvjan Party,860
None of the Above,None of the Above,3144
