Candidate,Party,Votes
KAMLESH SHUKLA,Bharatiya Janata Party,62886
FASIHA MANZER GHAZALA LARI,Samajwadi Party,52899
GIRIJESH ALIAS GUDDU SHAHI,Independent,41814
RAJEEV KUMAR SINGH,Bahujan Samaj Party,22610
ANAND PRAKASH,Communist Party of India,2454
GIRIJESH YADAV,Independent,1718
SHIVAJI,Rashtriya Lok Dal,1411
DAROGA YADAV,Independent,1224
SHAMBHU SHARAN KUSHWAHA,Jan Adhikar Party,824
SAROJ PANDEY,Republican Party of India (A),816
ANAND PRAKASH SHAHI,Sarv Sambhaav Party,746
SANJAY KUSHWAHA,Nationalist Congress Party,532
NATTHU YADAV,Bahujan Mukti Party,411
None of the Above,None of the Above,2032
