Candidate,Party,Votes
ARADHANA MISHRA 'MONA',Indian National Congress,81463
NAGESH PRATAP SINGH URF CHHOTE SARKAR,Bharatiya Janata Party,64397
ASHOK SINGH,Bahujan Samaj Party,7933
KAMARUDDIN,Communist Party of India,3472
SURENDRA SINGH,Nationalist Congress Party,3055
GYANENDRA SINGH,Shivsena,1495
VANDNA GUPTA,Manavtawadi Samaj Party,1293
ARVIND KUMAR,Rashtriya Lok Dal,1207
KAMTA PATEL,Bahujan Mukti Party,902
RAVINDRA KUMAR,Lok Dal,870
SURENDRA BAHADUR,Bharatiya Rashtriya Bahujan Samaj Vikas Party,857
NAVEEN PRATAP SINGH,Independent,645
NAGESH SINGH,Swarajya Party Of India,542
DURGESH KUMAR,Public Political Party,496
JAGRAM YADAV,Akhand Rashtrawadi Party,433
None of the Above,None of the Above,1595
