Candidate,Party,Votes
ABHAY KUMAR ALIAS DHIRAJ OJHA,Bharatiya Janata Party,67031
SHAKEEL AHMAD KHAN,Bahujan Samaj Party,58022
PROF.SHIVAKANT OJHA,Samajwadi Party,37816
SHREENATH,Nirbal Indian Shoshit Hamara Aam Dal,2052
PRANANJANY,Independent,1874
ANIL YADAV,Sarv Sambhaav Party,1379
SHASHI BHUSAN,Independent,1340
RAM SHIROMANI SHUKLA,Rashtriya Lok Dal,1209
TRIBHUWAN,Communist Party of India,1008
DINESH PANDEY,Independent,818
ASHOK KUMAR,Independent,657
NARENDRA KUMAR,Bahujan Mukti Party,629
ANURAG KUMAR,Bharatiya Karyasth Sena,488
DHEERAJ,Independent,418
AWADHESH,Lok Dal,411
SUSHIL KUMAR,Independent,313
PARASNATH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),241
RAM ASREY,Pragatisheel Samaj Party,225
None of the Above,None of the Above,1259
