Candidate,Party,Votes
UMA SHANKER SINGH,Bahujan Samaj Party,92272
RAM IQBALL SINGH,Bharatiya Janata Party,58385
SANATAN PANDEY,Samajwadi Party,37006
RAM JANAM SINGH CHUHAN,Nationalist Congress Party,1251
RAMASHRY,Independent,690
BHOLA PRASAD,Independent,546
ARUN KUMAR SINGH CHAUHAN,Jan Adhikar Party,463
BANDHU,Bahujan Mukti Party,258
AJAY KUMAR SHARMA,Independent,254
SUNIL,Rashtriya Jantantrik Bharat Vikas Party,238
GEETA,Ambedkar Samaj Party,230
None of the Above,None of the Above,1558
