Candidate,Party,Votes
SURENDRA NARAYAN SINGH,Bharatiya Janata Party,119885
MAHENDRA SINGH  PATEL,Samajwadi Party,62332
PRAMOD KUMAR SINGH,Bahujan Samaj Party,30531
KRISHNA PATEL,Independent,9549
PARVATI DEVI,Independent,2926
AMEERCHAND PATEL,Independent,1507
PRABHUNARAYAN,Independent,1270
PRAVEEN KUMAR PANDEY,Rashtriya Samaj Paksha,1261
SANGEETA VISHWAKARMA,Moulik Adhikar Party,734
MANOJ KUMAR SINGH,Rashtriya Krantikari Samajwadi Party,595
UMESH YADAV,Independent,527
SEWARAM SINGH,Shoshit Samaj Dal,475
None of the Above,None of the Above,2190
