Candidate,Party,Votes
RAM CHANDRA YADAV,Bharatiya Janata Party,90311
ABBAS ALI ZAIDI URF RUSHDI MIYAN,Samajwadi Party,59052
FIROZ KHAN URF GABBAR,Bahujan Samaj Party,47257
PRAMOD KUMAR LODHI,Sabka Dal United,2104
BALRAM YADAV,Rashtriya Lok Dal,1707
GIRISH TIWARI,Independent,1342
RAGHVENDER SINGH VERMA,Independent,1212
MRITYUNJAY MISHRA,AARAKSHAN VIRODHI PARTY,1106
PAWAN PRAJAPATI,Independent,999
SANDEEP KUMAR,Moulik Adhikar Party,747
SYED SUHAIL AHMAD,Bahujan Mukti Party,683
VISHWAJEET TRIPATHI,Jan Sevak Party,541
SANT RAM,Shivsena,524
SALIMAN,Hamari Apni Party,429
None of the Above,None of the Above,2225
