Candidate,Party,Votes
SANJAY PRATAP JAISWAL,Bharatiya Janata Party,90228
RAJENDRA PRASAD CHAUDHARY,Bahujan Samaj Party,68423
SAYEED AHMAD KHAN,Indian National Congress,51743
SURYAMANI,Independent,1705
KANTHRAM PRAJAPATI,Bhartiya  Sarvjan Party,1561
PRAMOD KUMAR SINGH  PRABHAT BHAIYA,Rashtriya Lok Dal,1452
DHRUV CHANDRA,Independent,1188
JAIPRAKASH UPADHYAY,Independent,1013
RAJEEV KUMAR PANDEY,Peace Party,741
VINOD KUMAR CHAUDHARY,Shoshit Samaj Dal,693
SURENDRA KUMAR YADAV,Bahujan Mukti Party,641
RAJ KUMAR VERMA,"Proutist Bloc, India",568
BRAHMANAND VISHWAKARMA,Most Backward Classes Of India,434
None of the Above,None of the Above,2221
