Candidate,Party,Votes
JAI PRAKASH NISHAD,Bharatiya Janata Party,77754
AKHILESH PRATAP SINGH,Indian National Congress,50965
CHANDRIKA NISHAD,Bahujan Samaj Party,23081
KAUSHAL PANDEY,Nirbal Indian Shoshit Hamara Aam Dal,2591
VEER SEN SINGH YADAV,Independent,1856
AWADH NARAYAN,Manuvadi Party,1431
SABBIR AHAMAD,Independent,1328
PRABHA SHANKAR TRIPATHI,Independent,732
RAMPRAVESH ALIAS PAHALWAN SADHU YADAV,Adarsh Vyawastha Party,709
SHESHNATH,Jan Adhikar Party,459
RAMBRICHH RAO,Bhartiya  Sarvjan Party,453
KUMARI KUNJAWATI,Bharatiya Swajivi Nagrik Party,433
None of the Above,None of the Above,2561
