Candidate,Party,Votes
RAMVEER UPADHYAY,Bahujan Samaj Party,91385
DR ANIL CHAUDHARY,Rashtriya Lok Dal,64775
PRITEE CHAUDHARY,Bharatiya Janata Party,36134
DEVENDRA AGRAWAL,Samajwadi Party,28980
KUSUMLATA SHARMA,Apni Zindgi Apna Dal,937
YATENDRA SINGH,Independent,934
SUBHASH CHANDRA,Independent,575
RAMESHAR,Independent,488
PREM CHANDRA OJHA ALIAS SUBHASH,Independent,476
KUSUMA,Independent,238
KRISHNA KUMAR SHARMA,Independent,158
KAILASH SINGH,Independent,153
NEETU SHARMA,Saman Adhikar Party,137
ANIL KUMAR,Independent,110
None of the Above,None of the Above,1103
