Candidate,Party,Votes
SITARAM,Bharatiya Janata Party,68950
RAJ PRASAD UPADHAYAY,Bahujan Samaj Party,50177
ARUN VERMA,Samajwadi Party,49692
SANATYA KUMAR URF BABLOO,Nirbal Indian Shoshit Hamara Aam Dal,10994
AWDHESH NARAYAN,Rashtriya Lok Dal,1219
CHHOTELAL,Most Backward Classes Of India,1082
GHANSHYAM,Independent,959
GOVIND KUMAR,Independent,837
ROHIT MAURYA,Independent,837
ABHISHESH,Independent,742
PREMCHANDRA,Bahujan Mukti Party,699
SATISH,Independent,692
ASHOK KUMAR,Independent,434
None of the Above,None of the Above,1935
