Candidate,Party,Votes
BANDANA SINGH,Bahujan Samaj Party,62203
JAIRAM PATEL,Samajwadi Party,56728
DEVENDRA KUMAR SINGH,Bharatiya Janata Party,40786
GOPAL NISHAD,Independent,5876
RITU KHARE,Nirbal Indian Shoshit Hamara Aam Dal,2427
VIJAY KUMAR GOND,Independent,1716
SANJAY RAI,Rashtravyapi Janta Party,1515
ANURAG YADAV,Nationalist Congress Party,1474
SHREEKANT SINGH,Communist Party of India,1269
DAYA SHANKAR BHATT,Rashtriya Lok Dal,982
RANAJEET SINGH ALIAS KAVIJI,Apna Dal,581
DHANESH YADAV,Lok Dal,544
AJAY KUMAR GAUTAM,Independent,539
AWADHESH GAUTAM,Pichhravarg Mahapanchayat Party,539
RAJESH KUMAR YADAV,Bahujan Mukti Party,527
RADHEY SHYAM YADAV,Hamari Apni Party,455
None of the Above,None of the Above,964
