Candidate,Party,Votes
SHEETAL PANDEY,Bharatiya Janata Party,72213
YASPAL SINGH RAWAT,Samajwadi Party,56836
DEVNARAYAN SINGH URF G.M. SINGH,Bahujan Samaj Party,54143
SHIVAJI SINGH,Nirbal Indian Shoshit Hamara Aam Dal,15780
ASHA NISHAD,Shoshit Samaj Dal,2024
INDRESH SINGH YADAV,Independent,1648
PRINCE KUMAR SINGH,Independent,1261
AMIT RAM TRIPATHI,Nationalist Congress Party,1162
ARVIND KUMAR RAI ( ADVOCATE),Independent,1049
RAMESH CHANDRA,Vikas Party,600
RAJESH KUMAR,Bahujan Mukti Party,553
KESRI,Bhartiya Sarvodaya Party,391
None of the Above,None of the Above,1723
