Candidate,Party,Votes
MASOOD AKHTAR,Indian National Congress,87689
JAGPAL SINGH,Bahujan Samaj Party,75365
MANOJ CHAUDHARY,Bharatiya Janata Party,58752
SAAD ALI KHAN,Independent,10950
AYYUB HASAN,Rashtriya Lok Dal,822
AMJAD ALI,Lok Dal,774
SHABNOOR BEGUM,Independent,596
VIKRAM SAINI,Independent,399
PARVESH KUMAR,Independent,376
SULEMAN,Bahujan Mukti Party,256
SACHIN KUMAR,Bhartiya Tarak Samaj Party,220
BABLU,Ambedkar Samaj Party,155
NAUSHAD,Jan Adhikar Party,146
None of the Above,None of the Above,968
