Candidate,Party,Votes
SANJAY GARG,Samajwadi Party,127210
RAJIV GUMBER,Bharatiya Janata Party,122574
MUKESH DIXIT,Bahujan Samaj Party,17350
BHOORA MALIK,Rashtriya Lok Dal,934
TALAT KHAN,All India Majlis-E-Ittehadul Muslimeen,693
SHABNAM,Independent,594
ZAINUL AABIDEEN SIDDIQUI,"Proutist Bloc, India",494
ROSHAN SINGH,Independent,409
BHARAT RAJ,Bahujan Mukti Party,386
SHIV KUMAR GUPTA,Independent,286
SHIV KUMAR,Swatantra Jantaraj Party,265
VINAY DHIMAN,Ojaswi Party,255
RAVINDER ARORA,Shivsena,223
MOHD.MURSLEEN,Independent,161
None of the Above,None of the Above,675
