Candidate,Party,Votes
SUSHIL SINGH,Bharatiya Janata Party,78869
SHYAM NARAYAN SINGH,Bahujan Samaj Party,64375
MANOJ KUMAR,Samajwadi Party,44832
CHANDRAVANSH,Rashtriya Lok Dal,1498
TRIBHUN NARAYAN,Independent,1448
BABU LAL,Independent,1088
BRIJESH YADAV,Independent,1020
CHHAVINATH,Pragatisheel Samaj Party,760
CHANDRIKA,Bharat Mata Party,704
NITYANAND YADAV,Independent,386
KUSUM,Independent,381
CHANDRAKALA,Independent,341
BRIJNATH,Janta Raj Party,308
RAJENDRA,Jan Adhikar Party,251
None of the Above,None of the Above,1463
